interaction_id,user_id,timestamp,input_length,response_length,response_time_ms,token_usage,satisfaction_score,retry_count,model_version,device_type,network_latency,ambiguity,creativity,factual_density,personalization,anomaly_flag,outlier_score,drift_score
48,7,1736264640,63,96,436,159,5,2,2,0,78,0.0567810340450684,0.7279543666724776,0.4820197667062357,0.03471328008699792,0,0.025149501090233062,0.6817087033294134
49,2,1736269980,60,132,362,192,4,1,4,0,26,0.399222725202494,0.7507025509358412,0.37124052994143464,0.16946276018590223,0,0.9731293119968542,0.7476697870683154
50,7,1736270280,59,111,313,170,5,2,4,0,27,0.8566151423839511,0.5067639396702327,0.6058329544747134,0.9866293932871518,0,0.09640993436591538,0.8481425305593974
51,10,1736278920,83,111,253,194,5,2,3,1,45,0.3931766874041964,0.9253628762534661,0.8046978276476722,0.9985227611993119,0,0.12488734511065003,0.992395368919082
52,4,1736296680,35,83,355,118,1,1,2,1,43,0.11787547075695992,0.9902407738553081,0.24025199377527884,0.7198479198896475,0,0.8709640850796426,0.459354779653232
53,8,1736305380,54,86,340,140,2,2,4,0,18,0.2659495003457961,0.35921468601454587,0.2507014291535362,0.6118568547711936,0,0.663505235719258,0.6705944172073243
54,1,1736321400,75,163,566,238,4,0,1,1,62,0.6000294417429484,0.12586414024923354,0.6071780140868468,0.777006953099265,0,0.4360725312453263,0.01842371625212169
55,5,1736328660,77,136,322,213,2,0,3,1,63,0.15203590769457087,0.3632381786478669,0.9398798208543053,0.8965542721851617,0,0.6490234057258495,0.9050870333062111
56,6,1736344380,29,56,304,85,4,2,3,1,71,0.6549353268423558,0.2233538970142701,0.29843997575876346,0.5193050595654082,0,0.9349848235304102,0.615743145528579
57,12,1736352000,49,111,345,160,4,1,4,1,41,0.43816193119924574,0.5310056670617501,0.3767546632290131,0.03528399941770122,0,0.09937731143570594,0.4213449792732371
58,3,1736363040,79,124,408,203,5,0,2,0,49,0.3343895008205219,0.37838760125240145,0.9933333014602895,0.7093958205800527,0,0.24371102717533222,0.4343127427606507
59,4,1736383800,64,95,227,159,2,0,4,0,49,0.24092548052316387,0.4804494142867909,0.1762221652065158,0.9846025020724225,0,0.8603004034707409,0.7579956463603956
60,5,1736431200,58,100,393,158,2,3,1,1,83,0.8233299858567095,0.7631875760760015,0.07696816837530407,0.2580529559719613,0,0.780639345301107,0.8334700035358941
61,12,1736436960,51,108,375,159,1,1,4,0,5,0.39667394746340157,0.27402097454185215,0.5897552388806061,0.46346556546109996,0,0.9942567215571908,0.8079036763148518
62,11,1736474160,48,59,236,107,2,0,1,1,30,0.7384792656062277,0.5374747246397255,0.024266988421632996,0.36127440105128117,0,0.3139088150721925,0.5105846530470237
63,1,1736475360,60,74,300,134,2,2,3,0,50,0.44035519263738443,0.3351612493286884,0.1804332312748227,0.3904674942298634,0,0.9448863971385452,0.3711466375680317
64,3,1736485140,50,106,293,156,3,2,1,0,28,0.09186718688677942,0.7849608641206614,0.622209180690468,0.7213999938753569,0,0.34368883129500416,0.9455393614155355
65,10,1736492700,54,85,261,139,3,1,4,1,44,0.4405059751672604,0.6395366324076963,0.659512400691333,0.37840438975605006,0,0.7150931911854932,0.6341995247702099
66,1,1736502000,56,92,280,148,5,3,4,1,47,0.507687779735764,0.008504730510610736,0.5104252496476197,0.9410841254587267,0,0.8827429476215864,0.5436534089942116
67,11,1736521920,42,38,103,80,4,1,1,1,36,0.45784219349337685,0.6600513411052183,0.3837480462293833,0.7896584537635604,0,0.17078209525836174,0.5983189320282927
68,4,1736527200,64,101,365,165,4,2,4,1,51,0.8162417117482725,0.17016200806658233,0.5761975844218483,0.02764702508769512,0,0.2056386550352003,0.6298665081862826
69,12,1736572560,107,192,563,299,1,2,2,0,62,0.9108513490430293,0.7244737902030393,0.6433857530332387,0.8185488820337248,0,0.5809586480323466,0.713072884106904
70,4,1736581080,23,60,204,83,3,2,3,1,45,0.786778675211034,0.5673386668454581,0.8034820462916507,0.7728574224386586,0,0.8438247700355141,0.5531846950411659
71,6,1736596860,60,92,321,152,4,0,1,0,40,0.5827819022109597,0.4014826777231747,0.7927508282098474,0.5164937283812335,0,0.07894953522211168,0.8753553544574786
72,8,1736606460,41,106,318,147,2,2,1,0,46,0.5414499605548907,0.6940664292072585,0.6648007655149478,0.49681739674641356,0,0.8508808097559035,0.8597142142737162
73,2,1736614380,65,103,342,168,3,2,1,1,49,0.644616030123659,0.8565932858687801,0.8942325832284657,0.8355269034669534,0,0.34312052954509653,0.4422577446528374
74,7,1736620560,55,85,258,140,4,0,3,0,15,0.2878302964393745,0.7787437138620732,0.8380252535954188,0.42478528916303493,0,0.4062266139725018,0.16853611212553654
75,7,1736620800,68,153,381,221,4,0,3,1,59,0.8118468461486851,0.5453792765719075,0.1332460082179402,0.15946234329329845,0,0.33986109568755607,0.5766557137711008
76,10,1736663220,76,141,454,217,5,2,4,0,40,0.8568481776036609,0.7226943202595297,0.9566794413234834,0.31289883284903264,0,0.9114799046076875,0.6207395221311821
77,12,1736674440,58,93,302,151,3,0,1,1,75,0.26721716318183053,0.4139145543927536,0.8917423023179204,0.26520240335748935,0,0.13079432658283907,0.5233795739537352
78,8,1736704200,75,131,483,206,2,3,3,0,61,0.9028182081400776,0.7890261215631287,0.3209271795079598,0.6810590296514503,0,0.5742744811763433,0.8905778132739662
79,5,1736747820,12,48,218,60,2,0,1,0,73,0.8487327239916674,0.8290518916228181,0.020184418607039456,0.17887335004084526,0,0.14810808062579173,0.0930202570243659
80,5,1736764500,83,178,429,261,4,3,2,0,29,0.42448676748251024,0.13729383687639873,0.6039759467582875,0.644772436432807,0,0.9285946300948413,0.2874185048352005
81,6,1736769660,61,93,367,154,3,2,1,0,42,0.9090002020927456,0.23803135959394628,0.43841757686638805,0.46596694726376187,0,0.7979313135356194,0.8657898463226186
82,10,1736776500,74,132,415,206,3,1,1,1,25,0.12043899381150813,0.2699887373491584,0.7495666625861319,0.8396609294117818,0,0.23381927426107785,0.9394133130222055
83,4,1736777520,33,61,278,94,1,1,3,1,35,0.027986559208900363,0.16608171898209156,0.5245997645086226,0.48499874321746794,0,0.29777826808815355,0.4259250747025686
84,3,1736803080,40,52,283,92,3,1,4,0,75,0.34786682559405435,0.3925350068974207,0.07649043525094679,0.9298039345693829,0,0.3815153279626775,0.1926439818409379
85,5,1736815740,57,101,289,158,2,2,3,1,79,0.565435698827345,0.19303321144961227,0.24468742025477586,0.9004691278855878,0,0.4054176752954365,0.4203294965099348
86,1,1736845380,54,97,307,151,3,3,4,0,27,0.3514426145328662,0.5955393109266095,0.8825237561265296,0.18528757910402283,0,0.8173428586320551,0.456166445424136
87,2,1736871540,60,130,371,190,5,0,3,1,40,0.9420677336713595,0.10161544289761593,0.0376896957150501,0.6861663523518836,0,0.5645333553091904,0.5195693781625502
88,2,1736871960,74,157,369,231,4,2,1,1,48,0.25471022905514507,0.2699191530267564,0.736669669398287,0.21462474912077523,0,0.42794931489172805,0.2743530801829511
89,10,1736890980,23,34,174,57,3,3,2,0,61,0.28121339359267894,0.6655206459463567,0.2919435079514323,0.8233043062304577,0,0.7194446569363528,0.31262740711682246
90,9,1736892540,72,125,436,197,5,1,4,1,14,0.6348276125448551,0.3985451231333492,0.45263980304249707,0.6357231545365691,0,0.45786487634380657,0.655587631346092
91,9,1736893320,55,112,355,167,5,2,1,0,17,0.0038638823417082024,0.4214627418534077,0.5310054319116085,0.29411769428165113,0,0.12824001688479048,0.6217941509966394
92,6,1736905560,51,80,212,131,3,0,1,0,59,0.7275570523545992,0.7979252529583892,0.25008135730720105,0.24912362838350643,0,0.10748918426952836,0.6621025151153346
93,9,1736912100,28,62,166,90,4,3,4,0,11,0.3774694830931572,0.9845115532909865,0.6519604429976628,0.42957765504543,0,0.32595667979517173,0.3772849831975811
94,2,1736929080,64,113,429,177,2,0,1,1,41,0.977747867643296,0.5650677832542129,0.6934422180978762,0.800722971461131,1,0.6028702376151721,0.33645683849989216
95,11,1736964360,11,5,125,16,5,1,4,0,53,0.6914175930297486,0.07906717146360775,0.0850594796707751,0.7961616090394517,0,0.13484132764823442,0.35153867297293895
96,7,1736970300,66,99,285,165,2,1,4,0,58,0.052214955082343084,0.10290297422363592,0.3739270758514206,0.03337622555493547,0,0.5501341706974073,0.9511764854896684
97,12,1736980260,28,79,264,107,2,1,3,0,47,0.09262780874197363,0.9685007220294161,0.7443773012062915,0.3022872154709001,0,0.2696096448087335,0.3952451031443228
98,2,1736980320,55,95,236,150,1,0,3,0,42,0.08816810692415855,0.6792349127484716,0.7216375598411319,0.4228509634697176,0,0.6954134156082917,0.6061323963379256
99,6,1736982780,52,126,443,178,5,2,1,1,66,0.9526222598919437,0.7524691183338194,0.5446033439052391,0.5855820134442432,0,0.02826270117637064,0.5228431871665385
100,9,1736994840,76,126,352,202,2,0,2,1,55,0.6840515412175877,0.6757637576855414,0.7776747798680141,0.14952700881469905,0,0.469023431480573,0.8762218159944921
101,6,1736994960,51,97,382,148,5,3,4,0,37,0.4276060072889357,0.17961760169515328,0.10764489303984326,0.3352830205289248,0,0.0522641490142326,0.36911680077947906
102,6,1737006240,42,123,368,165,1,0,4,0,50,0.20048268988003104,0.448362160824762,0.11821126784453007,0.8855970205679587,1,0.3305077752753205,0.4341444443561705
103,2,1737016920,45,59,309,104,3,1,2,0,57,0.8736397464358032,0.7980804376193656,0.6574893002963448,0.47654751341364954,0,0.015575144286879117,0.8427942887822104
104,5,1737017940,77,100,332,177,3,3,4,0,84,0.20155592767134045,0.8663629629420733,0.6933338678951289,0.7441432260434394,0,0.4690987605779313,0.16095761402990583
105,3,1737046020,64,140,442,204,3,0,4,1,65,0.7066792164758174,0.23733551474637204,0.8145268553210703,0.4847785064963399,0,0.7670158684780116,0.5942945478753
106,4,1737061680,48,69,293,117,1,0,1,0,74,0.763324361545346,0.5959617908338206,0.18103687777325705,0.4649825764004636,0,0.10022003774594457,0.39990820764380397
107,9,1737087540,50,89,329,139,1,2,3,0,37,0.2946560888554083,0.15710190273845337,0.5167716594311051,0.6219255250835041,0,0.7352226919940271,0.9857915589252276
108,8,1737089280,26,35,207,61,2,0,3,1,39,0.5049147371706423,0.9582768731217516,0.6608312971355824,0.25936451218961754,0,0.5841952670923312,0.7213841168006198
109,8,1737104400,61,115,338,176,3,3,3,1,45,0.22298928231839388,0.2522042889924876,0.22369957382901506,0.24980209930624997,0,0.5046052731360201,0.010556262806128203
110,5,1737108900,23,22,259,45,4,1,4,0,47,0.3789296574554981,0.7266351286038967,0.5169278655939907,0.989353854891609,0,0.5994832622802416,0.8394739004466438
111,12,1737141780,68,118,310,186,3,3,4,0,29,0.9651343982800088,0.23111294422685436,0.638445024390596,0.8689920093192223,1,0.33589713172919555,0.7031796561813116
112,2,1737148920,57,111,342,168,2,0,3,1,75,0.6931380346544302,0.6160539428785416,0.21444951147768032,0.7377548964496445,0,0.7103395537682894,0.5609609155826433
113,5,1737159300,97,154,428,251,2,0,2,0,67,0.8466142061905151,0.6592643070226565,0.3755634102501414,0.13714453905553325,0,0.7796658419207723,0.23612847588431707
114,2,1737162780,35,48,236,83,4,3,4,0,43,0.540599571466741,0.3284281034547527,0.216338810135708,0.03022471118476666,0,0.7782238655868774,0.14931665040769027
115,5,1737169680,53,88,274,141,3,3,4,1,62,0.23903974215135615,0.8188338654260512,0.9029429044285987,0.17541250419709298,0,0.2694597893936884,0.628399562858418
116,12,1737184680,87,128,391,215,5,3,3,1,54,0.7128798566671936,0.8853708982474505,0.23679888192999177,0.93773096450752,0,0.6539070096898525,0.4399402728137639
117,5,1737196140,76,128,367,204,3,1,3,1,64,0.5005679607905664,0.855069930253995,0.12083462598579697,0.8162897702489879,0,0.1480957257452764,0.8616203122311297
118,11,1737196260,42,77,194,119,3,1,1,0,23,0.1768488681070587,0.3307982194647173,0.035155311527143684,0.5230760124885764,0,0.49541961359626707,0.2623735702776713
119,6,1737196620,59,98,316,157,1,2,2,0,47,0.41242988961821025,0.744340259012654,0.04495347241135017,0.9687805913683772,0,0.0026292600595175797,0.637519980846249
120,9,1737203220,55,93,250,148,1,1,1,0,48,0.6348402190163059,0.5594907548692242,0.19158623496681693,0.146582102902301,0,0.1935867590083411,0.24884303665901764
121,6,1737219480,60,107,247,167,5,0,3,1,62,0.7353318566822382,0.5926283244920116,0.6082085113069523,0.5591504400060369,0,0.6317341158326056,0.6363170790932884
122,4,1737229560,42,62,250,104,2,1,4,1,37,0.24322079589035173,0.47742508525846183,0.017649874511122654,0.18322212639870983,0,0.8743615052031294,0.04834464221571333
123,10,1737231720,53,109,362,162,3,2,1,0,5,0.8759973393493311,0.6002611479688716,0.28674392475714716,0.3064286048043059,0,0.04902829858602431,0.39170742681438453
124,12,1737249240,26,75,296,101,3,0,4,1,28,0.379551107074678,0.13565415803574998,0.05816689132329933,0.9401350189632256,0,0.5585527921743301,0.17268561586575137
125,4,1737285660,57,93,334,150,1,1,1,0,48,0.2711367178927484,0.4088472331174553,0.40365877029916764,0.8682785165486835,0,0.6367750201050305,0.6059339962234745
126,10,1737290040,63,123,269,186,3,1,1,0,51,0.1951200554537248,0.177671761987946,0.04857673782985761,0.10179878563058609,0,0.9323909811827462,0.3167280531777318
127,4,1737297060,50,85,221,135,2,0,4,1,83,0.8041713344029736,0.28010553097142576,0.607541776620828,0.24954380556093847,0,0.6551437946449565,0.7715326176767493
128,9,1737303420,25,52,322,77,1,0,1,0,61,0.35416457496606246,0.12781453592213377,0.6884242655190153,0.5945074695820506,0,0.10303270247073837,0.11459436043001825
129,10,1737307140,72,160,387,232,3,1,3,0,51,0.48339902788793465,0.21249560522202005,0.7313375496437635,0.06135278734082439,0,0.14674424254448049,0.5562130669192423
130,6,1737311700,61,119,388,180,3,0,4,0,49,0.22281982356387564,0.7819292557877159,0.22434339864625508,0.5500846473514374,0,0.6357641288869977,0.5936778629416548
131,9,1737315540,41,38,161,79,1,1,2,1,72,0.6860910711689315,0.5498364621776702,0.8685001619617433,0.5844914357940106,0,0.21561967676323268,0.022104099720065995
132,4,1737317700,49,97,317,146,3,2,1,0,38,0.7810334075524223,0.023643118512234995,0.6902881673309265,0.2909671813304595,0,0.9283054748772882,0.03598571085049862
133,1,1737318300,27,73,234,100,4,3,2,0,47,0.3394252489533416,0.7885244838021156,0.05665021929982039,0.2931229801251234,0,0.9206872007858861,0.30824017232801837
134,2,1737321900,36,60,268,96,2,0,1,1,28,0.945079385371402,0.9094683959294906,0.4407667087014271,0.2290792687700708,0,0.9486558601572134,0.6090754394119121
135,6,1737345300,45,100,326,145,5,1,3,0,78,0.03061060956023609,0.8804292757826376,0.7677564933724812,0.9356763701960428,0,0.29295260781219334,0.9626299951622065
136,11,1737349440,77,124,345,201,4,0,4,0,57,0.13294310327404035,0.8230168828733218,0.31089392672022975,0.38887114069907747,0,0.7169499079603164,0.09078350998866302
137,2,1737352320,43,47,161,90,4,1,4,1,35,0.5887870315604908,0.9922164428009369,0.3815587739072648,0.5852690631138904,0,0.6630139069348495,0.7031627732108057
138,6,1737369060,66,121,375,187,1,1,4,1,47,0.7014068620483797,0.586401955537933,0.6296038272965429,0.3015745742535145,0,0.03560378133777209,0.6927161221227769
139,9,1737374640,45,45,149,90,4,3,4,1,60,0.250682989509059,0.9625876285149049,0.0554808801158978,0.7026640044149043,0,0.2655650763462797,0.6694742435034768
140,3,1737390060,59,101,343,160,2,1,4,0,44,0.5540710968913485,0.9488442325014275,0.9669350405079173,0.10144127105864253,0,0.2067667296794684,0.5161473415322018
141,9,1737402600,52,119,489,171,4,3,4,1,39,0.3183862470428127,0.3132387305034393,0.17448101060972787,0.07164154309466397,0,0.37080860173833996,0.9668259506101438
142,4,1737415140,70,87,361,157,5,0,3,0,36,0.5540892456215902,0.8634337560558708,0.026671999646260325,0.7442837605818863,0,0.953053716545225,0.5017751384886814
143,10,1737419040,45,55,265,100,2,0,4,0,56,0.6593276777642525,0.7924726655587772,0.005322982040420254,0.7266679583153499,0,0.8456016389583383,0.8382970791992078
144,7,1737428220,26,26,167,52,2,0,2,0,42,0.9728080535690574,0.7757987774010856,0.3995543749993957,0.26500133614066224,0,0.2934245913682769,0.26252060287466383
145,7,1737459540,30,52,127,82,1,1,2,0,40,0.4556968600211837,0.896280771291922,0.8842533654753777,0.35504671272468835,0,0.5300315310993231,0.8063084993068551
146,3,1737474180,45,73,199,118,4,0,4,0,23,0.6482160402713806,0.3841900099203077,0.819762079217929,0.9572605013328223,0,0.1922661215866619,0.9965457339389333
147,6,1737487320,32,85,354,117,4,0,2,0,51,0.5780392479199319,0.4000549658873819,0.912045798249695,0.10433029499531432,0,0.27743399229593824,0.91008598777376
148,11,1737493800,62,130,340,192,3,0,2,0,46,0.31755489388757296,0.6400523092036364,0.533782319328899,0.183147066546671,0,0.06500324901488452,0.3040717187519454
149,1,1737506400,46,92,269,138,1,3,1,0,43,0.25306413169772035,0.7378045378143421,0.4487462338751643,0.4300383649732332,0,0.6426065009168366,0.8461574758483994
150,10,1737514260,97,177,465,274,2,3,2,1,53,0.9878707217447237,0.8797371026576145,0.3858609761067945,0.2820989060555251,0,0.6569207744963289,0.0952571230287198
151,6,1737516180,23,49,164,72,3,0,3,1,64,0.20685236170151533,0.8758453206592819,0.04641807579130586,0.6490085486322071,0,0.8385016208034435,0.6777075596130526
152,9,1737519960,58,87,232,145,5,3,4,0,64,0.7902752670742368,0.7213396243862599,0.9095212563051536,0.6906017229466844,0,0.8715518134272541,0.34214623298668656
153,8,1737521760,34,78,273,112,1,0,1,1,61,0.14658739102076102,0.9568927778215227,0.4961760922847275,0.5263880838900952,0,0.1600593991937228,0.658670089595598
154,6,1737533520,46,60,195,106,2,1,3,1,45,0.8043512693612508,0.17862861894624227,0.45506743105151015,0.6111973014027698,0,0.7430409461629872,0.41224900757946537
155,4,1737534600,57,119,320,176,4,1,4,1,38,0.18572844298954805,0.9503398471800862,0.5151674870141173,0.43342083202034487,0,0.13470763282733234,0.00903314982532244
156,8,1737535560,13,47,174,60,2,1,4,0,29,0.967156644016167,0.06419148203362157,0.7941545181142005,0.760387253725166,0,0.3737150117458109,0.231276554047951
157,2,1737537840,59,110,366,169,5,3,4,0,38,0.6859876565745173,0.5556218811919182,0.22447108598256393,0.04209849784626973,0,0.5155365715592212,0.042386232858316
158,8,1737542940,89,156,420,245,5,2,1,0,50,0.09011824367582888,0.09019695700812225,0.7099006789949233,0.31289133665588087,0,0.04946991408707602,0.4272699227998513
159,2,1737544800,46,90,291,136,2,2,2,0,34,0.6931771194590108,0.5680009751981364,0.7107697408540329,0.684430041394894,0,0.15676371154545432,0.8400712867281831
160,8,1737558960,59,48,245,107,4,2,4,0,51,0.6036207627815519,0.39010971245571946,0.8495527822581829,0.3296451078753825,0,0.27111609999003816,0.7379967589750783
161,8,1737567300,73,137,386,210,4,2,4,1,30,0.3375462466939585,0.08160943150238686,0.008683598463870013,0.07853528044294944,0,0.12754232963418932,0.7889121862440657
162,2,1737622500,52,91,288,143,4,0,3,0,16,0.26073599775671463,0.6481168050241883,0.17039554323513206,0.3450134284667753,0,0.9340962722063331,0.8071996488047292
163,10,1737659340,44,78,299,122,1,1,4,1,66,0.7187607817481522,0.7311979996228418,0.4710468520447555,0.7114947717886633,0,0.2883191880871163,0.3719397880434755
164,5,1737667080,14,39,231,53,1,0,3,1,40,0.7413613729498658,0.1741854136199813,0.8505403874614784,0.12198486525331775,0,0.5011716645089137,0.5060257294933985
165,10,1737673920,66,117,346,183,2,2,1,0,33,0.32720584895253657,0.6944367193087689,0.965116861627984,0.7246313642116545,1,0.9965342379256862,0.5084511700854011
166,1,1737675180,52,70,264,122,1,1,4,1,28,0.8762271108395037,0.1790475491477329,0.5948686146794013,0.7754557163575756,0,0.5666426769312439,0.11320851693607237
167,3,1737692940,36,61,202,97,2,2,1,0,58,0.26882721888849126,0.1373964493152765,0.21213397542302015,0.6353007444226989,0,0.4114957749920847,0.5981421221282742
